Name,Address,IndustryInfo,Neighborhood,좌표
예본건강,인삼 및 건강제품,경기 성남시 분당구 정자동48-10 102,,
풀무원분당영업소,인삼 및 건강제품,경기 성남시 분당구 성남대로779번길 13,"이매동, 오성프라자","(37.3988812, 127.1269135)"
백합마트,할인점/슈퍼마켓,경기 성남시 분당구 양현로 509,야탑동,"(37.40638195, 127.12596919416887)"
성남농협정자지소,농협(마트),경기 성남시 분당구 느티로 73,정자동,"(37.368774, 127.1127777501195)"
한솔마트,할인점/슈퍼마켓,경기 성남시 분당구 정자동주공7단지,,
하이나리,할인점/슈퍼마켓,경기 성남시 분당구 내정로166번길 42,수내동,"(37.3701284, 127.1209689)"
성남농협야탑역지점,농협(마트),경기 성남시 분당구 야탑동513-1번지,,
금호건강원,인삼 및 건강제품,경기 성남시 분당구 내정로165번길 38,수내동,"(37.376703, 127.116195)"
성남농업협동조합초림역지소,농협(마트),경기 성남시 분당구 백현로101번길 22,수내동,"(37.3764421, 127.1114779)"
낙생농업협동조합,농협(마트),경기 성남시 분당구 판교동342-10번지,,
하나유통,할인점/슈퍼마켓,경기 성남시 분당구 매화로 92,야탑동,"(37.4157788, 127.133923)"
새분당건강생활,인삼 및 건강제품,경기 성남시 분당구 돌마로 87,"금곡동, 골드프라자","(37.371871, 127.1255546)"
(주)농협하나로유통 성남농산물 종합유통센터,농협(마트),경기 성남시 분당구 구미동174,,
경희슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 야탑로69번길 3,"야탑동, 강남프라자","(37.4101109, 127.12637845)"
낙생농업협동조합,미곡상,경기 성남시 분당구 판교동342-10,,
(주)엠서클,인삼 및 건강제품,경기 성남시 분당구 장미로 36,"야탑동, 지엔지빌딩","(37.4134109, 127.1331151)"
동경마트,할인점/슈퍼마켓,경기 성남시 분당구 내정로119번길 40,정자동,"(37.37345225, 127.11244057104712)"
주민두레소비자생활협동조합,할인점/슈퍼마켓,경기 성남시 분당구 정자동223-5 지층,,
베스토아,할인점/슈퍼마켓,경기 성남시 분당구 내정로 172,수내동,"(37.3736535, 127.119964)"
무지개슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 미금로 68,구미동,"(37.3464498, 127.1160634)"
루비,인삼 및 건강제품,경기 성남시 분당구 내정로165번길 38,"수내동, 양지마을금호1단지아파트","(37.376703, 127.116195)"
돌고래쌀집,미곡상,경기 성남시 분당구 내정로174번길 42,수내동,"(37.3726856, 127.1215298)"
금곡수퍼마켓,할인점/슈퍼마켓,경기 성남시 분당구 정자일로 72,금곡동,"(37.3507854, 127.1063437)"
정든슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 불정로 195,정자동,"(37.3762283, 127.139504)"
(주)올가홀푸드이매점,할인점/슈퍼마켓,경기 성남시 분당구 이매로 49,"이매동, 주영빌딩","(37.394948150000005, 127.12633222406367)"
썬마트,편의점,경기 성남시 분당구 분당로53번길 20,"서현동, 이랜드분당프라자","(37.383188, 127.120908)"
한화호텔앤드리조트(주)한국가스공사점,할인점/슈퍼마켓,경기 성남시 분당구 돌마로 171,정자동,"(37.3500363, 127.1120226)"
더블유에이치유통,식품잡화,경기 성남시 분당구 황새울로258번길 36,"수내동, 광진빌딩","(37.379173, 127.1157395)"
SK텔레콤연구원 구내매점,할인점/슈퍼마켓,경기 성남시 분당구 황새울로258번길 6,수내동,"(37.3807148, 127.1165736)"
이마트24 분당경남,할인점/슈퍼마켓,경기 성남시 분당구 야탑로 108,야탑동,"(37.40909905, 127.13868049999999)"
솔라,할인점/슈퍼마켓,경기 성남시 분당구 구미동175대한주택공사내할인매장,,
25시편의점,편의점,경기 성남시 분당구 구미로9번길 1,"구미동, 향정프라자","(37.3383858, 127.1100916)"
코코블루,편의점,경기 성남시 분당구 서현로210번길 20,"서현동, 코코프라자","(37.3863737, 127.1254126)"
메디파크건강식품,인삼 및 건강제품,경기 성남시 분당구 돌마로 43,"금곡동, 메디파크빌딩","(37.371871, 127.1255546)"
초림마트,식품잡화,경기 성남시 분당구 수내동38-5,,
그린공판장,식품잡화,경기 성남시 분당구 양현로 539,야탑동,"(37.387706, 127.1203123)"
광명마트,할인점/슈퍼마켓,경기 성남시 분당구 선지봉로6번길 2,분당동,"(37.366148499999994, 127.14181740000001)"
편의점사랑정자역점,편의점,경기 성남시 분당구 성남대로331번길 3-3,"정자동, 젤존타워","(37.3653298, 127.1077077)"
김종찬 헬스샵,인삼 및 건강제품,경기 성남시 분당구 성남대로 389,정자동,"(37.3724397, 127.1081833)"
정관장 홍삼 수내역점,인삼 및 건강제품,경기 성남시 분당구 백현로101번길 16,"수내동, 대덕프라자","(37.3764421, 127.1114779)"
산삼골,인삼 및 건강제품,경기 성남시 분당구 정자동527,,
SNI 분당,식품잡화,경기 성남시 분당구 구미로 16,구미동,"(37.3377132, 127.1109897)"
한국농산,미곡상,경기 성남시 분당구 불곡남로13번길 10,정자동,"(37.358688400000005, 127.12402649587159)"
동방식품,식품잡화,경기 성남시 분당구 석운로62번길 17,석운동,
씨유분당목련점,편의점,경기 성남시 분당구 야탑로 243,야탑동,"(37.4073696, 127.14553747735033)"
씨유분당이매점,편의점,경기 성남시 분당구 야탑남로 12,이매동,
의료법인늘푸른의료재단,편의점,경기 성남시 분당구 대왕판교로 155-7,금곡동,"(37.3564913, 127.098769)"
오복떡방아간,미곡상,경기 성남시 분당구 장미로 55,"야탑동, 동부코오롱아파트","(37.4134109, 127.1331151)"
아름슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 야탑로 124,야탑동,"(37.4087006, 127.1210487)"
한살림성남용인소비자생협정자매장,할인점/슈퍼마켓,경기 성남시 분당구 내정로129번길 37,정자동,"(37.37390345, 127.11306699109548)"
중앙마트,할인점/슈퍼마켓,경기 성남시 분당구 수내로 201,"분당동, 샛별마을삼부아파트","(37.383668, 127.1144137)"
현대슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 야탑동34번지 장미현대아파트 3102,,
(주) 치어스,식품잡화,경기 성남시 분당구 성남대로331번길 3-9,"정자동, 백궁프라자","(37.3648454, 127.10772195)"
의연식품,식품잡화,경기 성남시 분당구 성남대로925번길 16,"야탑동, 테마폴리스","(37.41293935, 127.12725301422529)"
분당건강식품,인삼 및 건강제품,경기 성남시 분당구 돌마로 86,구미동,"(37.349662699999996, 127.11124917500001)"
그린마트,식품잡화,경기 성남시 분당구 궁내동192-2번지 107,,
럭키슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 백현로 206-1,"정자동, 한솔주공4단지","(37.3744655, 127.1135336)"
대우슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 판교로 421,야탑동,"(37.4001937, 127.0962964)"
이마트24 분당이매삼성점,편의점,경기 성남시 분당구 이매동100-1번지 이매촌삼성아파트상가 C동 101,,
(주)휴리체,인삼 및 건강제품,경기 성남시 분당구 정자일로 248,"정자동, 파크뷰","(37.3507854, 127.1063437)"
(주)한국산삼감정협회,인삼 및 건강제품,경기 성남시 분당구 탄천로 215,야탑동,"(37.4091605, 127.123032)"
지유명차 분당차예관,식품잡화,경기 성남시 분당구 서현로239번길 3-4,서현동,"(37.38533005, 127.12888071248717)"
현대슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 중앙공원로 20,서현동,"(37.382904, 127.1322702)"
베스트올(야탑쌍용점),편의점,경기 성남시 분당구 양현로 254,야탑동,"(37.3923182, 127.1244591)"
그린마트,식품잡화,경기 성남시 분당구 장미로 189,야탑동,"(37.4134109, 127.1331151)"
금릉할인마트,할인점/슈퍼마켓,경기 성남시 분당구 서현1동 307,,
비타민하우스성남지사,인삼 및 건강제품,경기 성남시 분당구 서현로 170,"서현동, 풍림아이원플러스","(37.3889736, 127.1225479)"
(주)명인상사,식품잡화,경기 성남시 분당구 성남대로 393,"정자동, 두산위브파빌리온","(37.3724397, 127.1081833)"
진로석수신분당,식품잡화,경기 성남시 분당구 백현로156번길 1,정자동,"(37.3722552, 127.11527178180087)"
(주)농협하나로유통 성남농산물 종합유통센터,농협(마트),경기 성남시 분당구 구미동174번지,,
뉴트롬,인삼 및 건강제품,경기 성남시 분당구 분당로53번길 9,서현동,"(37.3839247, 127.121358)"
무지개슈퍼,할인점/슈퍼마켓,경기 성남시 분당구 구미로 143,"구미동, 무지개마을라이프아파트","(37.3380608, 127.1144322)"
(주)에스엠인프라넷,식품잡화,경기 성남시 분당구 대왕판교로385번길 8,백현동,"(37.3786246, 127.1015039)"
양지반찬점,식품잡화,경기 성남시 분당구 내정로165번길 38,수내동,"(37.376703, 127.116195)"
다원유통,식품잡화,경기 성남시 분당구 안골로 17-5,"서현동, 다세대","(37.385193799999996, 127.13375415139214)"
