Name,Address,IndustryInfo,Neighborhood,좌표
세모스쿠알렌분당점,화장품,경기 성남시 분당구 내정로165번길 38,162호,"(37.376703, 127.116195)"
김정문알로에야탑대리,화장품,경기 성남시 분당구 성남대로916번길 5,관보쇼핑 1층 24호,"(37.411549, 127.1298651)"
카라꽃방,화장품,경기 성남시 분당구 판교로 442,1층,"(37.405391, 127.1284568)"
은혜화장품,화장품,경기 성남시 분당구 이매동건영상가 1층,,
CAC뷰티클럽,화장품,경기 성남시 분당구 내정로 185,청구분산상가 112,"(37.368652, 127.1147912)"
태평양아모레,화장품,경기 성남시 분당구 황새울로312번길 20,9층,"(37.38405935, 127.1226110866697)"
이안피부건강관리센타,피부미용실,경기 성남시 분당구 정자일로 25,402호,"(37.352339549999996, 127.105629875)"
관보종합화장품,화장품,경기 성남시 분당구 성남대로916번길 5,관보스포츠 1층 113,"(37.411549, 127.1298651)"
서현사,미용재료,경기 성남시 분당구 서현로210번길 20,2층,"(37.3863737, 127.1254126)"
수진화장품,화장품,경기 성남시 분당구 돌마로366번길 42,수내동,"(37.3671671, 127.1267389)"
에스앤유메디코스,화장품,경기 성남시 분당구 황새울로200번길 9-7,202,"(37.37768885, 127.11169190060565)"
성음화장품,화장품,경기 성남시 분당구 돌마로90번길 4,1동 1층 101호,"(37.34969705, 127.111731197577)"
피부비만,피부미용실,경기 성남시 분당구 느티로 22,B동 3212호,"(37.3685417, 127.1123812)"
슈와리뷰티살롱,"이용,미용",경기 성남시 분당구 정자일로 25,202호,"(37.352339549999996, 127.105629875)"
배순희코스메틱,화장품,경기 성남시 분당구 성남대로916번길 11,305호,"(37.410839499999994, 127.12984399999999)"
현숙코스메틱,피부미용실,경기 성남시 분당구 중앙공원로 35,올림픽스포츠상가 223호,"(37.382904, 127.1322702)"
왕희헤어필,"이용,미용",경기 성남시 분당구 양현로94번길 21,분당코아 2층 209호,"(37.3907172, 127.1262382)"
우연화장품,화장품,경기 성남시 분당구 벌말로40번길 4,104,"(37.41122225, 127.1384976)"
성남분당지사,화장품,경기 성남시 분당구 야탑로69번길 24-8,413,"(37.4116394, 127.1277079)"
아모레,화장품,경기 성남시 분당구 구미로9번길 17,305,"(37.3398191, 127.10989554549222)"
노희정헤어노블,"이용,미용",경기 성남시 분당구 수내동21-2 판테온그린상가110,,
건강과행복의집,화장품,경기 성남시 분당구 정자일로 55,106동 107-1호,"(37.3507854, 127.1063437)"
금호미용실,"이용,미용",경기 성남시 분당구 내정로165번길 38,602동 208호,"(37.376703, 127.116195)"
박영익 지압.카이로프락틱,피부미용실,경기 성남시 분당구 내정로166번길 43,2층 210,"(37.3717071, 127.1211621)"
루디아미용실,"이용,미용",경기 성남시 분당구 내정로 94,한솔7단지 종합상가 205,"(37.368652, 127.1147912)"
명동미용실,"이용,미용",경기 성남시 분당구 수내동52-10,,
매직헤어갤러리,"이용,미용",경기 성남시 분당구 미금로 48,203,"(37.3374423, 127.1163548)"
시즌글라스 서현점,화장품,경기 성남시 분당구 중앙공원로40번길 8,128호,"(37.3794199, 127.1316498)"
스타웰,화장품,경기 성남시 분당구 서현로 170,B-527호,"(37.3889736, 127.1225479)"
G.아다인미용실,"이용,미용",경기 성남시 분당구 느티로77번길 3,201,"(37.3688018, 127.1129871369748)"
차 에스테틱,화장품,경기 성남시 분당구 내정로 29,302,"(37.3627809, 127.11450635)"
노블레스 헤어펌,"이용,미용",경기 성남시 분당구 중앙공원로40번길 4,카스스포콤 202호,"(37.3794199, 127.1316498)"
블루클럽정자점,"이용,미용",경기 성남시 분당구 내정로17번길 4-11,102,"(37.3627222, 127.11398089110003)"
아로마나투아,화장품,경기 성남시 분당구 서현로 170,Z동 240호,"(37.3889736, 127.1225479)"
권홍패밀리헤어,"이용,미용",경기 성남시 분당구 성남대로925번길 16,3-16,"(37.41293935, 127.12725301422529)"
강선생건강센터,피부미용실,경기 성남시 분당구 탄천로 27,지하1층,"(37.4091605, 127.123032)"
푸라나,"이용,미용",경기 성남시 분당구 서현로 177,금강상가 101,"(37.3911449, 127.1205089)"
헤어큐비즘,"이용,미용",경기 성남시 분당구 서현로 170,320,"(37.3889736, 127.1225479)"
샬롬헤어샵,"이용,미용",경기 성남시 분당구 불정로376번길 31,주상복합상가 604-112,"(37.372353, 127.1381386)"
헤어클래식,"이용,미용",경기 성남시 분당구 불정로 381,210,"(37.37455335, 127.13673320829434)"
고해숙헤어숍,"이용,미용",경기 성남시 분당구 판교로 434,202,"(37.4052024, 127.1219991)"
아모레(방문판매원),화장품,경기 성남시 분당구 황새울로329번길 5,5층,"(37.38594125, 127.1218163492618)"
블루클럽분당구미정,미용재료,경기 성남시 분당구 미금로 48,116,"(37.3374423, 127.1163548)"
누뜨르헤어살롱,"이용,미용",경기 성남시 분당구 내정로165번길 50,207,"(37.37710585, 127.11543027408977)"
박민수헤어존,"이용,미용",경기 성남시 분당구 돌마로486번길 12,현대4차상가 206,"(37.3752243, 127.1363936)"
이현주헤어클럽,"이용,미용",경기 성남시 분당구 야탑동335 현대근린상가 1-1203 1204,,
강미자헤어스페샬,"이용,미용",경기 성남시 분당구 내정로 152,9,"(37.3717867, 127.1187846)"
