Name,Address,IndustryInfo,Neighborhood,좌표
은혜화장품,화장품,경기 성남시 분당구 이매동건영상가,,
노희정헤어노블,"이용,미용",경기 성남시 분당구 수내동21-2,,
명동미용실,"이용,미용",경기 성남시 분당구 수내동52-10,,
이현주헤어클럽,"이용,미용",경기 성남시 분당구 야탑동335,,
이금직헤어아트,"이용,미용",경기 성남시 분당구 이매동100-101,,
쥬얼리헤어샵,"이용,미용",경기 성남시 분당구 정자동124,,
푸른셀,화장품,경기 성남시 분당구 야탑남로 14,"이매동, 금강프라자",
신데렐라미용실,"이용,미용",경기 성남시 분당구 구미동112-3,,
폴미첼코리아,미용재료,경기 성남시 분당구 분당동샛별마을삼부아파트,,
준헤어,"이용,미용",경기 성남시 분당구 야탑동188,,
블루클럽 미금역점,"이용,미용",경기 성남시 분당구 돌마로68,"구미동,분당프라자115호",
아리온헤어,"이용,미용",경기 성남시 분당구 금곡동107,,
아모레,화장품,경기 성남시 분당구 야탑동265-6,,
마임분당정자,화장품,경기 성남시 분당구 느티로 67302호,정자동,
황세희댕기머리,"이용,미용",경기 성남시 분당구 정자동110,,
신정헤어스토리,"이용,미용",경기 성남시 분당구 구미동분당메가포스몰상가,,
우리헤어테크닉,"이용,미용",경기 성남시 분당구 서현동효자촌주상복합 A-1090,,
더세리(THE SERI)분당정자점,미용재료,경기 성남시 분당구 정자동12-1 백궁지엔느 201호∼202호,,
이파리본,화장품,경기 성남시 분당구 운중로225번길 58-1,판교동,
샤넬미용실,"이용,미용",경기 성남시 분당구 수내동75번지 푸른마을종합 B상가 106,,
자연머리방,"이용,미용",경기 성남시 분당구 정자동51-39번지,,
세신종합화장품,화장품,경기 성남시 분당구 야탑동367-4 세신옴니코아빌딩제1층101호28,,
올리브헤어샵,"이용,미용",경기 성남시 분당구 구미로75번길 11,"구미동, 동산프라자",
헤어브러쉬,"이용,미용",경기 성남시 분당구 수내동53번지 파크주상복합제상가동 145호 146호,,
핀꽃,화장품,경기 성남시 분당구 구미동24-1분당현대벤처빌2층상가 201호내117,,
오하라뷰티하우스,피부미용실,경기 성남시 분당구 야탑동361-5번지 대덕프라자 114호 115호,,
피지오 스킨케어,피부미용실,경기 성남시 분당구 구미동203-1번지 60 관보쇼핑 2층 205호,,
아모레 퍼시픽 뷰레이터,화장품,경기 성남시 분당구 서현동신영팰리스 503호,,
제이헤어,"이용,미용",경기 성남시 분당구 판교원로209,"판교동,판교원마을상가동지하104호",
엠에스 피부관리,피부미용실,경기 성남시 분당구 수내동파크타운주상복합상가제상가동 147호,,
떼루아 헤어1호점,"이용,미용",경기 성남시 분당구 매화로 42후면1층,"야탑동, 충무빌딩",
밸런스,화장품,경기 성남시 분당구 이매동131-4번지 경림빌딩 4층 405,,
(주)씨엠에스랩,화장품,경기 성남시 분당구 판교로255번길 206층,삼평동,
나이스가이,"이용,미용",경기 성남시 분당구 서현동307 효자촌주상복합601동 상가1동 1025,,
루디아헤어갤러리,"이용,미용",경기 성남시 분당구 야탑동517번지 탑마을상가 1층 105호 106호,,
에스까다,화장품,경기 성남시 분당구 야탑동1514 분당테크노파크 디-807,,
미다스헤어,"이용,미용",경기 성남시 분당구 판교원로82번길60,"운중동,산운마을제상가동제2층",
민경헤어샵,"이용,미용",경기 성남시 분당구 미금로 36201호,"구미동, 브니엘프라자",
정우헤어,"이용,미용",경기 성남시 분당구 성남대로171번길107호 108호 시티밸리제1층,금곡동,
미정스킨케어,화장품,경기 성남시 분당구 성남대로 393B-111,"정자동,분당두산위브파빌리온",
더원,화장품,경기 성남시 분당구 성남대로 165203,"금곡동,천사의도시오피스텔",
마임분당여수지사,화장품,경기 성남시 분당구 야탑로69번길 85층 한주코아,야탑동,
인뷰티,"이용,미용",경기 성남시 분당구 정자일로 46112호,"금곡동, 청솔마을유천아파트",
샤론스킨샵,화장품,경기 성남시 분당구 불정로376번길 31155호 156,서현동,
